,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,Dolna Banjica,90,MK,1575791691,100,20.9,41.79,41.0,1.72
1,Biak,100,ID,1575791691,67,122.88,-0.91,85.53,6.67
2,Meulaboh,93,ID,1575791691,78,96.13,4.14,81.07,6.08
3,Bestobe,89,KZ,1575791692,89,73.1,52.5,29.7,13.53
4,Bluff,0,AU,1575791692,39,149.07,-23.58,83.52,19.35
5,Sao Filipe,2,CV,1575791692,74,-24.5,14.9,69.01,19.06
6,Jamestown,100,AU,1575791692,8,138.6,-33.21,90.19,2.17
7,Lebu,69,ET,1575791375,43,38.73,8.96,67.64,5.14
8,Rikitea,100,PF,1575791365,78,-134.97,-23.12,74.07,22.06
9,Vaini,40,IN,1575791368,61,74.49,15.34,80.6,8.05
10,Cape Town,20,ZA,1575791166,50,18.42,-33.93,79.0,17.22
11,Ushuaia,75,AR,1575791209,70,-68.31,-54.81,42.8,34.45
12,Margate,75,AU,1575791693,59,147.26,-43.03,66.0,10.29
13,Chiquimulilla,75,GT,1575791693,87,-90.38,14.09,60.8,16.11
14,Dong Hoi,59,VN,1575791537,62,106.6,17.48,65.41,10.29
15,Chester,20,GB,1575791694,81,-2.89,53.19,48.2,21.92
16,Port Alfred,100,ZA,1575791401,77,26.89,-33.59,73.0,3.0
17,Yellowknife,40,CA,1575791694,66,-114.38,62.45,-31.0,5.82
18,Rafai,0,CF,1575791694,22,23.92,4.95,91.47,3.47
19,Khatanga,99,RU,1575791404,88,102.47,71.98,-11.69,3.13
20,Kapaa,1,US,1575791694,100,-159.32,22.08,71.6,6.93
21,College,75,US,1575791695,92,-147.8,64.86,21.2,5.3
22,Bawku,11,GH,1575791695,11,-0.24,11.06,83.48,12.73
23,Galesong,40,ID,1575791467,88,119.37,-5.32,82.4,5.82
24,Adrar,94,DZ,1575791695,48,-0.29,27.87,44.6,8.05
25,Venado Tuerto,8,AR,1575791695,77,-61.97,-33.75,62.01,7.47
26,Athabasca,0,CA,1575791695,86,-113.29,54.72,0.34,4.52
27,Fare,100,PF,1575791695,79,-151.02,-16.7,81.46,18.25
28,Mackenzie,90,CA,1575791696,85,-123.09,55.34,14.0,3.36
29,Komsomolskiy,100,RU,1575791696,77,63.78,67.55,4.35,9.01
30,Esperance,90,AU,1575791700,59,121.89,-33.86,66.2,21.92
31,Mataura,85,NZ,1575791700,71,168.86,-46.19,52.0,8.01
32,Lavrentiya,100,RU,1575791394,94,-170.99,65.58,23.23,21.23
33,Rosarito,40,CO,1575791700,100,-75.23,4.91,64.4,4.7
34,Lida,80,BY,1575791700,91,25.3,53.9,36.37,13.02
35,Itoman,20,JP,1575791701,48,127.67,26.12,66.2,20.8
36,Lagunas,74,PE,1575791701,96,-75.68,-5.23,69.8,1.59
37,Valparaiso,1,US,1575791621,76,-87.06,41.47,36.0,8.05
38,Marsa Matruh,98,EG,1575791701,69,27.25,31.35,67.71,19.55
39,Cabo San Lucas,5,MX,1575791420,88,-109.91,22.89,73.0,5.82
40,Atuona,16,PF,1575791702,74,-139.03,-9.8,79.68,10.67
41,Tasiilaq,16,GL,1575791702,63,-37.64,65.61,26.6,3.36
42,Ikom,0,NG,1575791702,52,8.72,5.96,87.89,1.74
43,East London,20,ZA,1575791552,68,27.91,-33.02,71.6,8.05
44,Narsaq,100,GL,1575791405,29,-46.05,60.91,37.4,17.22
45,Laguna,75,BZ,1575791403,100,-88.94,16.17,71.6,1.66
46,Nabire,100,ID,1575791703,95,135.5,-3.36,76.21,0.74
47,Lompoc,75,US,1575791703,93,-120.46,34.64,60.8,5.82
48,Barrow,4,AR,1575791703,45,-60.23,-38.31,59.02,7.31
49,Alta Floresta,100,BR,1575791703,97,-56.08,-9.87,68.32,2.3
50,Busselton,67,AU,1575791703,22,115.35,-33.64,79.0,17.38
51,Flinders,40,AU,1575791704,60,150.85,-34.58,73.99,17.22
52,Ribeira Grande,75,PT,1575791704,88,-28.7,38.52,64.4,8.05
53,Sechura,100,PE,1575791704,89,-80.82,-5.56,67.98,6.53
54,Georgetown,40,GY,1575791400,100,-58.16,6.8,73.4,4.7
55,Talnakh,40,RU,1575791407,84,88.39,69.49,1.4,8.95
56,Avarua,72,CK,1575791705,69,-159.78,-21.21,77.0,12.75
57,Ancud,2,CL,1575791425,93,-73.83,-41.87,50.0,6.93
58,Ballina,40,IE,1575791705,86,-9.15,54.11,46.99,13.87
59,Puerto Ayora,100,EC,1575791705,88,-90.35,-0.74,71.01,1.01
60,Rancho Palos Verdes,90,US,1575791705,87,-118.37,33.75,62.6,6.93
61,Katsuura,20,JP,1575791411,43,134.5,33.93,55.4,12.75
62,North Bend,90,US,1575791706,100,-124.22,43.41,51.01,3.36
63,Kisangani,75,CD,1575791706,83,25.21,0.52,77.0,4.7
64,Pisco,90,PE,1575791706,88,-76.2,-13.71,68.0,8.05
65,Punta Arenas,100,CL,1575791706,75,-70.91,-53.16,44.6,9.17
66,Baruun-Urt,41,MN,1575791706,79,113.28,46.68,11.01,3.71
67,Pacific Grove,75,US,1575791404,87,-121.92,36.62,59.0,11.59
68,Mitsamiouli,20,KM,1575791707,70,43.28,-11.38,87.8,5.82
69,Nikolskoye,75,RU,1575791707,76,30.79,59.7,36.0,17.9
70,Dingle,3,PH,1575791707,85,122.67,11.0,77.29,14.16
71,Naze,20,NG,1575791707,94,7.07,5.43,75.2,1.86
72,Myitkyina,0,MM,1575791707,35,97.4,25.38,75.38,2.75
